"plot_id","Strata","datum","utm_zone","utm_easting","utm_northing"
241,"Low-Mid Stocking","NAD83","12N",320325.966426976,5194386.30545196
242,"Mid-High Stocking","NAD83","12N",321223.827051707,5194399.83031679
243,"Mid-High Stocking","NAD83","12N",323024.333019953,5194439.03256326
244,"High Stocking","NAD83","12N",323922.41077654,5194449.75980571
245,"Low-Mid Stocking","NAD83","12N",311778.475908509,5193771.62823663
246,"Mid-High Stocking","NAD83","12N",312685.187848285,5193780.51865578
247,"Mid-High Stocking","NAD83","12N",315387.87506532,5193848.12813941
248,"Mid-High Stocking","NAD83","12N",316283.718897833,5193857.81660275
249,"High Stocking","NAD83","12N",317189.368792219,5193867.4154955
250,"High Stocking","NAD83","12N",318084.31932109,5193886.7437511
251,"Mid-High Stocking","NAD83","12N",318983.473257842,5193904.62520764
252,"Mid-High Stocking","NAD83","12N",319883.357652066,5193927.40546074
253,"Mid-High Stocking","NAD83","12N",320782.854836831,5193944.01691427
254,"Mid Stocking","NAD83","12N",323486.606116012,5194000.39189923
255,"High Stocking","NAD83","12N",324384.086782199,5194012.55491161
256,"Mid-High Stocking","NAD83","12N",314940.730840635,5193381.25372297
257,"High Stocking","NAD83","12N",315838.081986851,5193402.94927537
258,"Mid-High Stocking","NAD83","12N",316741.064177655,5193418.61837038
260,"High Stocking","NAD83","12N",318541.089963531,5193451.15958568
261,"Low-Mid Stocking","NAD83","12N",319440.473866802,5193468.95198916
262,"Mid-High Stocking","NAD83","12N",320341.524713276,5193483.21761621
263,"Mid-High Stocking","NAD83","12N",321242.851499484,5193500.99846283
264,"Low-Mid Stocking","NAD83","12N",322144.606128588,5193519.12461609
266,"Low-Mid Stocking","NAD83","12N",315399.61327153,5192940.62342513
267,"Mid-High Stocking","NAD83","12N",316297.436471968,5192958.3473969
268,"Mid Stocking","NAD83","12N",317200.943410263,5192976.53218943
269,"High Stocking","NAD83","12N",318097.261633076,5192987.69647961
270,"High Stocking","NAD83","12N",319001.501555671,5193007.46900559
271,"Mid Stocking","NAD83","12N",319901.141467397,5193028.486962
272,"Mid-High Stocking","NAD83","12N",320799.501271799,5193042.0240746
273,"Low-Mid Stocking","NAD83","12N",321696.941718159,5193056.09281925
274,"Low-Mid Stocking","NAD83","12N",322603.011919387,5193080.01642657
275,"Mid-High Stocking","NAD83","12N",323501.205764396,5193093.20594831
276,"High Stocking","NAD83","12N",316755.9767328,5192514.79248564
278,"High Stocking","NAD83","12N",318559.867586009,5192545.02431955
279,"Low-Mid Stocking","NAD83","12N",319455.366717755,5192564.97154948
280,"Mid-High Stocking","NAD83","12N",320357.359400246,5192584.23769622
281,"Low-Mid Stocking","NAD83","12N",321258.190587664,5192607.8023258
283,"Low-Mid Stocking","NAD83","12N",323063.921531108,5192628.55401784
284,"Low-Mid Stocking","NAD83","12N",317220.291287041,5192073.73174585
285,"Mid-High Stocking","NAD83","12N",318116.04929504,5192090.94399518
286,"High Stocking","NAD83","12N",319020.208399287,5192100.84806536
287,"Low-Mid Stocking","NAD83","12N",319916.556290286,5192123.47814239
288,"Mid Stocking","NAD83","12N",320821.293010182,5192141.11013152
289,"Low-Mid Stocking","NAD83","12N",322619.570233018,5192178.40068182
290,"Mid-High Stocking","NAD83","12N",319472.044617018,5191665.53383755
291,"Mid Stocking","NAD83","12N",320375.761485165,5191683.53259215
292,"High Stocking","NAD83","12N",319935.946094064,5191226.67331387
293,"Mid-High Stocking","NAD83","12N",315000.554284341,5190678.14644026
294,"Low-Mid Stocking","NAD83","12N",315911.303869424,5190663.68843449
295,"High Stocking","NAD83","12N",315449.794200762,5190238.16680473
296,"Mid-High Stocking","NAD83","12N",315011.750286477,5189771.71270288
297,"High Stocking","NAD83","12N",315903.82278158,5189793.11710062
